Star #, UPC,Description,Pack,Size
,,PROTEIN SALADS,,
25,0-77541-00651-8,Star Chicken Salad,2,5 lb.
43,0-77541-00668-6,Star Classic Chicken Salad,2,5 lb.
48,0-77541-00663-1,Star Private Stock Chicken Salad,2,5 lb.
27,0-77541-00650-1,Star Ham Salad,2,5 lb.
44,0-77541-00664-8,Star Classic Tuna Salad,2,5 lb.
26,0-77541-00679-2,Star Classic Egg Salad,2,5 lb.
,,PIMIENTO CHEESE SPREADS,,
28,0-77541-00652-5,Star Pimiento Cheese Spread,2,5 lb.
29,0-77541-00659-4,Star Gourmet Pimiento Cheese,2,5 lb.
36,0-77541-00657-0,Star Jalapeno Pimiento Cheese,2,5 lb.
37,0-77541-00661-7,Star Sharp Pimiento Cheese,2,5 lb.
,,BARBECUE / CHILI / STEW,,
33,0-77541-00648-8,Star Pork Barbecue Chopped ,2,5 lb.
35,0-77541-00649-5,Old Oak Barbecue,2,5 lb.
40,0-77541-00666-2,Star Deli Barbecue  (Tomato Base Sauce),2,5 lb.
49,0-77541-00684-6,Star Private Stock Hand Pulled Barbecue,2,5 lb.
56,0-77541-00670-9,Star Ole Fashion Brunswick Stew,2,5 lb.
250,0-77541-00656-3,Star Chili (Chandler),4,5 lb.
252,0-77541-00665-5,Star Chili,2,5 lb.
255,0-77541-00680-8,Star Ole Fashion Chicken And Dumplings,2,5 lb.
,,POTATO SALAD,,
602,0-77541-00645-7,Star Mustard Potato,2,5 lb.
605,0-77541-00835-2,Star Private Stock Baked Potato Salad ,2,5 lb.
,,SLAWS,,
23,0-77541-00646-4,Star Cole Slaw,2,5 lb.
55,0-77541-00669-3,Star Gourmet Cole Slaw,2,5 lb.
45,0-77541-00660-0,Star Barbecue Slaw,2,5 lb.
,,PASTA,,
24,0-77541-00647-1,Star Macaroni Salad,2,5 lb.
66,NA,Star White Macaroni Salad ,2,5 lb.
,,,,
,,,,
,,,,
,,,,
,,,,